"model","model.formula","bh","WT","SPCD","nobs","B1","B2","B3","seB1","seB2","seB3","pB1","pB2","pB3","RMSE","AIC","meanBIAS","meanAbsBIAS","meanLowDBHRes","meanMidDBHRes","meanUppDBHRes","B3_test","ierr","notes"
5,"HT = bh + exp(B1+B2/(DBH+B3))",4.5,NA,611,315259,5.00279517633958,-10.6700238046312,3.05611039561503,0.00230076670768141,0.0374070862496438,0.0125280154886733,0,0,0,3.63241025962002,2211648.44504694,-0.00970102163235324,6.90611758023409,-0.0732294268115734,0.0533719159703847,-0.00924494951858568,0,0,"fit"
5,"HT = bh + exp(B1+B2/(DBH+B3))",4.5,NA,835,112253,4.51536902246935,-8.25679316562688,2.31972171190848,0.00434384866123855,0.0696826677618767,0.030243344590642,0,0,0,3.50529821337596,829024.375726004,0.00796526174655209,8.10626834503632,0.0391770277405899,-0.00490415638654326,-0.0103775763286741,0,0,"fit"
5,"HT = bh + exp(B1+B2/(DBH+B3))",4.5,NA,652,5400,4.62797116940109,-7.80512291905767,2.21873842876829,0.0151875551202276,0.215961950297707,0.0845239177778185,0,2.42074301668e-256,4.9145577466268e-143,3.16216316049295,37049.0682151804,-0.0390084472435098,6.19954630913854,-0.0143021445183632,0.0848166640667434,-0.18753986127891,2.82690473998286e-46,0,"fit"
5,"HT = bh + exp(B1+B2/(DBH+B3))",4.5,NA,521,15155,4.86669301261571,-10.3208902902602,3.03642332276775,0.01840237984167,0.269743940019308,0.08441048166898,0,7.54158440688768e-306,5.40205218722439e-272,3.9309895615162,103660.613568691,-0.00448499481620579,6.45939368771376,-0.0507914647340098,0.321029728727496,-0.283748526259095,3.22293696424876e-126,0,"fit"
5,"HT = bh + exp(B1+B2/(DBH+B3))",4.5,NA,827,126480,4.79533106614627,-9.2541656037297,3.06346642501583,0.00356278504793811,0.057876866503344,0.0219030264047683,0,0,0,3.72573441372134,895280.445221901,-0.0540763008350639,7.20877551458724,-0.209053913190648,0.0606147567139765,-0.01378974602852,0,0,"fit"
5,"HT = bh + exp(B1+B2/(DBH+B3))",4.5,NA,531,109804,4.83689193219248,-11.1701323577454,3.70116443578013,0.00426969745868505,0.0789057233384209,0.0292821475982704,0,0,0,3.6211518440548,796415.713103577,-0.0310510661232889,7.72075871154457,-0.283614741833747,0.296667076253201,-0.10619863233098,0,0,"fit"
5,"HT = bh + exp(B1+B2/(DBH+B3))",4.5,NA,409,68631,5.03754862026788,-12.6877491557881,3.68710886605666,0.00567467981117755,0.105859141439072,0.0348200638547167,0,0,0,3.63876723479827,497217.927410809,-0.00554219451609774,7.67569494487806,-0.061286711520122,0.18712649151292,-0.142466363541091,0,0,"fit"
5,"HT = bh + exp(B1+B2/(DBH+B3))",4.5,NA,491,41398,3.90312540013857,-3.72195622245365,1.30795792490171,0.00938251467279122,0.0789541952291547,0.0398148908329417,0,0,1.12420303843961e-233,2.80024640996333,242787.414530298,-0.000716362483691841,3.71851064003662,0.00531586434774981,-0.00988399770030975,0.00241860875192058,1.05950459555932e-14,0,"fit"
5,"HT = bh + exp(B1+B2/(DBH+B3))",4.5,NA,812,57032,4.84075253186691,-9.85883226538986,2.88130491121656,0.00435671131822586,0.0774413384893918,0.0293177907033616,0,0,0,3.52168446363204,416302.426605305,0.00709627134902837,7.85632604857127,-0.029452025016521,0.228276744130525,-0.177545617438114,0,0,"fit"
5,"HT = bh + exp(B1+B2/(DBH+B3))",4.5,NA,110,100174,4.95608979030198,-11.6823427621771,2.95818585483651,0.0047439046666719,0.094085470286202,0.0373246692050218,0,0,0,3.82110499238854,767190.12884523,-0.00271279148306591,9.14172056614178,0.0164207430845892,-0.0560108158103822,0.0314511252618736,0,0,"fit"
