"SPCD","nobs","minDBH","maxDBH","minHT","maxHT"
805,16118,1,64.9,5,154
431,3857,1,66.3,6,124
41,1291,1,60.5,6,212
231,2019,1,27.8,5,57
81,19119,1,85.8,5,212
108,250778,1,58.4,5,147
119,6325,1,77.4,5,220
103,897,1,36,7,137
981,3148,1,58.3,5,126
768,1201,1,17.5,5,116
492,854,1,36,7,74
21,5848,1,93.3,5,220
116,9878,1,70,5,211
22,6002,1,76.5,5,250
92,65,1.1,35.6,8,130
242,37138,1,139.5,5,266
818,8632,1,52.6,5,154
352,319,1,39.5,11,111
17,69569,1,57,5,217
815,5817,1,60.9,5,123
120,211,3.4,39.8,23,151
821,439,1.7,61.2,7,111
542,496,1,46.9,7,125
20,9775,1,77.6,5,220
839,3292,1,49.7,5,102
333,672,1,18.3,6,46
251,142,1,31.9,7,94
801,1675,1,60.1,6,95
127,1334,1,47.2,6,149
807,5267,1,41.8,6,76
55,116,1,15.8,6,51
330,50,1,23.3,8,82
101,23956,1,56,5,142
747,2023,1,57.7,7,204
264,26220,1,68.9,5,180
201,49,3.6,47.5,20,139
64,16678,1,103.1,5,96
763,1194,1,18,5,95
52,20,1,18.3,8,60
11,39491,1,81.7,5,235
56,7,1.3,6.8,6,14
212,48,1.5,76.7,9,264
137,63,2.7,30.8,9,96
730,30,1.2,46.3,11,150
540,1003,1,36.6,7,110
109,142,3.2,42,13,126
54,6,5.9,10.4,13,26
511,9,5.8,34,64,142
124,61,3.5,39.1,20,148
510,33,1,38.9,15,153
73,27370,1,53.2,5,204
104,545,5,55.2,10,102
997,34,1.1,14.9,13,50
811,28,5,41.7,21,56
142,526,3.9,54.8,9,70
374,119,1,11.2,9,75
604,9,5.3,9,20,35
102,1719,1,64.5,6,69
310,45,1,16.9,6,61
370,141,1,30,11,87
745,759,1,64.6,10,171
974,1139,1,29.9,8,110
5092,1,1.7,1.7,11,11
91,3742,1.1,30.6,5,120
320,227,1,24.5,14,99
379,2123,1,15.5,9,88
809,13361,1,40.2,5,110
315,8433,1,16.5,7,88
743,36033,1,36.6,5,165
129,105037,1,47.5,5,160
126,16727,1,29.9,6,128
375,67126,1,32,6,110
130,4044,1,24.7,8,109
12,168022,1,21.7,5,100
543,42475,1,37.1,6,111
71,31962,1,24.2,6,125
97,72158,1,34.3,5,124
816,217,1,17.1,7,88
8449,794,1,24.7,10,100
912,12324,1,21.9,5,103
6511,466,1,50,8,70
7845,252,1,5.6,7,35
8441,266,1,19.2,6,67
128,11113,1,31,6,111
770,29,1,3.3,5,23
6791,177,1,9.7,7,45
915,415,6.7,21,5,70
925,727,1,13,6,68
8860,76,1,5,6,32
7455,105,1.1,12,11,67
988,763,1,15.6,7,74
987,112,1,11,6,55
5260,37,1,4.3,9,22
319,1504,1,19.5,6,93
692,1318,1,39.6,6,95
995,78,1,11.6,8,61
989,597,1,11.5,8,67
986,441,1,22.8,5,71
8563,58,1,10.3,11,45
992,666,1,14.6,7,70
8345,3,5.3,7.1,39,51
876,53,1,12,11,57
873,9,1,2.4,6,24
7060,2,2.4,2.6,20,22
845,8,1,8.1,10,24
8355,2,1.1,6.9,22,37
853,92,1,14,6,41
7912,13,1,3.5,10,32
909,3,6.8,9.7,17,25
897,1,5.5,5.5,21,21
854,19,1.8,10.3,21,52
863,8,1.2,11,16,36
886,62,1,11,7,40
513,106,1.2,9,16,84
8901,5,1,1.4,10,16
857,6,2.1,27.8,22,85
6434,3,1.1,5.2,13,42
6535,2,1.1,2.6,12,14
891,1,1.5,1.5,15,15
940,17,6,13.2,26,60
882,38,1.1,6.2,12,32
913,52,3.2,7,5,26
907,2,3,3.2,9,9
650,124,1,29.3,10,90
764,18,1,11.8,10,58
6696,24,1,7.2,11,55
7578,7,5.1,9,23,50
7577,3,3,5.6,22,56
8296,9,1,1.4,14,15
314,1015,1,30,10,115
6782,6,3.8,7.1,30,58
580,585,1,30.8,10,129
337,3,1.5,2.8,14,28
655,4292,1,26.2,10,120
123,2509,1,21.4,9,97
262,148,1,29.8,8,119
16,500,1,21.8,6,102
6918,1753,1,13.9,8,45
8423,12,5.2,9.5,18,55
125,56002,1,33.7,5,120
977,228,1,23.3,13,117
921,230,1,23.3,10,91
72,835,1,38.7,6,125
105,25942,1,22.4,6,107
94,26439,1,26,6,127
741,11696,1,26,5,118
70,632,1,23.3,11,120
355,77,2.2,13.2,24,74
680,46,1.1,13.9,13,60
929,11,1.2,8.9,16,58
927,46,1.1,19.7,15,83
509,2,2.1,3,27,28
334,45,1.2,10,11,34
664,9,1.1,8.4,11,34
919,529,1,16.5,8,66
424,6,4.5,11.2,22,64
7181,9,1,5.5,18,63
463,865,1,18.5,6,74
663,96,1,8.5,8,50
865,1,1.1,1.1,11,11
6708,35,1,6.3,9,52
561,16,1.6,11,19,57
6262,9,2.2,7.3,22,39
935,771,1,15.4,10,68
8813,1,10.2,10.2,52,52
95,58551,1,21.6,5,98
771,400,1.1,25.6,13,82
241,101374,1,34.6,5,89
937,15,1,7.8,14,43
923,79,1,19.2,14,70
136,303,1,18,13,96
10,5,5.4,8.2,14,59
772,2,1.4,22.1,13,76
765,13,1,7.8,10,39
934,16,1,12.7,16,55
753,89,3.2,9.1,25,63
5203,1,5.7,5.7,28,28
6516,3,1,1.4,12,17
57,10,2.1,16.4,15,39
8357,2,1.4,2.1,24,25
58,9347,1,61.8,5,50
90,3,2.2,6,11,37
6797,1,3.7,3.7,29,29
870,21,1.2,8.7,15,44
549,311,1,21.5,8,67
8513,1112,1,21.1,9,83
605,92,1.2,17.2,6,57
8529,1,7.1,7.1,30,30
522,4074,1,14.7,5,38
42,1810,1,64.8,6,179
661,109,1,11.6,7,65
926,1,1.9,1.9,17,17
7469,34,1,5,14,38
844,2,5.9,6,39,40
520,2,1,1.1,8,15
260,1,1.9,1.9,13,13
998,5,1.1,6.3,14,19
303,1256,1,26.5,5,37
867,1209,1,15.5,5,26
523,42,1.2,17.7,6,35
8651,14,1.2,5.8,11,19
8487,313,1,12,7,42
683,10,1,8.1,12,33
8612,18,1,5.3,6,15
868,44,1,10.7,11,22
7565,1,7.2,7.2,28,28
5491,6,1.6,12.2,20,45
869,45,1.1,17.5,16,55
8514,479,2.9,23.4,10,45
141,229,1.2,17.5,5,38
6799,86,1,11,7,27
363,7,2.1,15.8,8,26
8511,16,5.1,10.5,14,45
851,21,5.3,14.2,7,41
60,2,7.8,10.4,22,23
7454,1,6.1,6.1,35,35
773,1,5,5,32,32
603,33,2,28.7,25,80
6955,2,7.2,8,23,23
752,2,5,8.3,39,43
