"model","model.formula","bh","WT","SPCD","nobs","B1","B2","B3","seB1","seB2","seB3","pB1","pB2","pB3","RMSE","AIC","meanBIAS","meanAbsBIAS","meanLowDBHRes","meanMidDBHRes","meanUppDBHRes","B3_test","ierr","notes"
6,"HT = bh + B1*(1.0-exp(B2*DBH^B3))",4.5,NA,611,315259,126.628855718279,-0.0820791791353213,0.946511945272167,0.582767857299105,0.000342391949925111,0.00140116492569633,0,0,0,3.6313137737609,2211458.08702315,0.00417282249913612,6.90537287996035,0.111640131152693,-0.0478946301343701,-0.0512280561814852,NA,0,"fit"
6,"HT = bh + B1*(1.0-exp(B2*DBH^B3))",4.5,NA,835,112253,70.3582838116662,-0.107834988789248,1.00713422673808,0.416749974411153,0.000601778332399233,0.00451344816204191,0,0,0,3.50470194984691,828986.183218998,0.0019518851390318,8.10238919390192,0.0233969356806418,-0.0200498173131945,0.00250855192662496,NA,0,"fit"
6,"HT = bh + B1*(1.0-exp(B2*DBH^B3))",4.5,NA,652,5400,83.8392680253499,-0.111219025053073,0.969857943124319,1.84415260795751,0.00224901799630935,0.0113464626255891,0,0,0,3.15865702935234,37037.0867890157,-0.0156649980890075,6.19822508387547,0.053701087778221,-0.186768366856536,0.0860722848112927,NA,0,"fit"
6,"HT = bh + B1*(1.0-exp(B2*DBH^B3))",4.5,NA,521,15155,126.924102034754,-0.0779800479278168,0.901932431399604,6.86708731306039,0.0041315529360514,0.00926056506780314,1.90913619914429e-75,1.47615547067511e-78,0,3.92800653336668,103637.60411902,0.00351332036542879,6.4607576260724,-0.0801777272516825,0.487673313707782,-0.397034910441128,NA,0,"fit"
6,"HT = bh + B1*(1.0-exp(B2*DBH^B3))",4.5,NA,827,126480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Missing value or an infinity produced when evaluating the model"
6,"HT = bh + B1*(1.0-exp(B2*DBH^B3))",4.5,NA,531,109804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Missing value or an infinity produced when evaluating the model"
6,"HT = bh + B1*(1.0-exp(B2*DBH^B3))",4.5,NA,409,68631,145.839641133815,-0.0666251461730032,0.904836166506224,2.40539455123248,0.000986572448641889,0.00370814808226912,0,0,0,3.63929134372785,497237.696485004,0.0033843719791213,7.68104599121184,0.202309826306599,0.0324292814066197,-0.224585991775855,NA,0,"fit"
6,"HT = bh + B1*(1.0-exp(B2*DBH^B3))",4.5,NA,491,41398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"step factor 0.000488281 reduced below 'minFactor' of 0.000976562"
6,"HT = bh + B1*(1.0-exp(B2*DBH^B3))",4.5,NA,812,57032,102.500284326057,-0.0951195876089822,0.950590132659429,0.71229040465056,0.000587448679057105,0.00344113380386112,0,0,0,3.52012394955588,416251.871841514,0.0104409293031773,7.85268568641227,0.0945993322694516,0.041431710071217,-0.104714311726441,NA,0,"fit"
6,"HT = bh + B1*(1.0-exp(B2*DBH^B3))",4.5,NA,110,100174,104.839602564845,-0.0661882477880792,1.08025465582618,0.841032313425352,0.000385040787131296,0.00513854250944245,0,0,0,3.82137179631824,767204.117408155,-0.000704808246630506,9.1434117514069,0.0602233910399277,-0.181676740140788,0.119337099671702,NA,0,"fit"
6,"HT = bh + B1*(1.0-exp(B2*DBH^B3))",4.5,NA,693,100326,124.865825006069,-0.0779681029246854,0.869118452826561,1.75799848728782,0.00103853328717034,0.00283798105080786,0,0,0,3.399122958847,687641.430693455,0.0056199758486511,6.31333573384504,0.157414672603825,0.151847496960318,-0.29240224201819,NA,0,"fit"
6,"HT = bh + B1*(1.0-exp(B2*DBH^B3))",4.5,NA,931,28577,96.177611618753,-0.114434176809613,0.872223125806857,2.21439489602591,0.00251222735043224,0.00662797018539231,0,0,0,3.96414507826636,204961.92664881,-0.00274713483252498,7.53671020071638,-0.103078025444557,0.141168489811031,-0.0463364446891444,NA,0,"fit"
6,"HT = bh + B1*(1.0-exp(B2*DBH^B3))",4.5,NA,591,32091,75.6352746116384,-0.107378277290573,0.912994429164558,2.35713101658889,0.0033016898205202,0.00705129264204613,2.15188538934184e-222,2.66100318843094e-228,0,2.82993869876284,193688.705638567,4.57380450490052e-05,4.1593684676231,-0.0234007451354949,0.0255642722253252,-0.00202631295468323,NA,0,"fit"
6,"HT = bh + B1*(1.0-exp(B2*DBH^B3))",4.5,NA,131,1095023,140.202716067731,-0.0531467989892515,1.00463951273974,0.632218280651565,0.000181949950968059,0.00142489364324905,0,0,0,3.81474528828546,8191807.96126321,0.00220641163457498,8.28195111804081,0.157385870664695,0.133568621470426,-0.284336042262008,NA,0,"fit"
6,"HT = bh + B1*(1.0-exp(B2*DBH^B3))",4.5,NA,802,232468,108.216528135411,-0.0891298140410834,0.94371310159626,0.446028336836301,0.000287008049200376,0.00228680906342622,0,0,0,3.4127055025412,1734570.69406721,0.0137470253463064,8.3795342767339,0.464645849356611,-0.465956477777186,0.0425458855842463,NA,0,"fit"
6,"HT = bh + B1*(1.0-exp(B2*DBH^B3))",4.5,NA,115,2889,148.392750192141,-0.0587944846501136,0.918819052758735,9.21952880788848,0.00291244210010956,0.0186215467520492,6.92394848211088e-56,7.02269718147188e-85,0,3.75170565186386,21833.997968226,0.00598260137623236,8.99124684876946,-0.153135486731403,0.472374116356659,-0.301290825496559,NA,0,"fit"
6,"HT = bh + B1*(1.0-exp(B2*DBH^B3))",4.5,NA,316,542572,96.3922448635395,-0.136953203364767,0.849299083187643,0.29595798201945,0.000388053040801066,0.00124262519379268,0,0,0,3.55763012676112,3905831.26980004,0.000625620269664108,7.30098809185448,-0.00631710625448419,0.0391473271918261,-0.0309533217404163,NA,0,"fit"
6,"HT = bh + B1*(1.0-exp(B2*DBH^B3))",4.5,NA,653,33899,86.3421265515259,-0.134921430233911,0.926505320448874,0.969048607485892,0.00142593706022874,0.00521795199369094,0,0,0,3.98225850374497,243633.322141057,8.87190057827602e-05,6.9631117817897,0.0810895904175804,-0.11114365783478,0.0303229000257884,NA,0,"fit"
6,"HT = bh + B1*(1.0-exp(B2*DBH^B3))",4.5,NA,111,168001,94.130348942267,-0.0577815865884254,1.27402199230795,0.395613725946382,0.000267708235086042,0.00417271894356756,0,0,0,3.69640001446049,1245251.72875218,-0.00212785478168468,7.91118900407927,0.139892319691154,-0.185888985173837,0.0396105650630847,NA,0,"fit"
6,"HT = bh + B1*(1.0-exp(B2*DBH^B3))",4.5,NA,121,53877,86.8262279317203,-0.0677324935242145,1.22825473642891,0.490981794909374,0.000513057866582325,0.00644605695222815,0,0,0,3.69486389824895,404094.690848653,-0.00295531504483527,8.40329660979166,-0.239731691538189,0.320994892480149,-0.0901291460764659,NA,0,"fit"
