"model","model.formula","bh","WT","SPCD","nobs","B1","B2","B3","seB1","seB2","seB3","pB1","pB2","pB3","RMSE","AIC","meanBIAS","meanAbsBIAS","meanLowDBHRes","meanMidDBHRes","meanUppDBHRes","B3_test","ierr","notes"
1,"HT = bh + exp(B1 + B2*DBH^(-1.0))",4.5,"1/DBH",611,315259,4.3687101091105,-2.80838740311102,NA,0.000771304127786475,0.00322577259492287,NA,0,0,NA,4.46470203274434,2341727.13368784,-1.52950100043527,8.70640617804331,0.220175863014737,3.64872406565554,-8.45741957992816,NA,0,"fit"
1,"HT = bh + exp(B1 + B2*DBH^(-1.0))",4.5,"1/DBH",835,112253,4.18467457074409,-3.58847753629761,NA,0.00180131153507912,0.0121825797856718,NA,0,0,NA,3.709540558409,841737.696325726,-0.59257899194723,8.46816353901643,1.10491507958318,0.776301448143487,-3.65903545494104,NA,0,"fit"
1,"HT = bh + exp(B1 + B2*DBH^(-1.0))",4.5,"1/DBH",652,5400,4.1946963960602,-2.75127813277198,NA,0.00557737806176254,0.025095749489904,NA,0,0,NA,3.57624321166859,38377.0791952887,-1.08089520634216,7.18037434746449,0.859133236035474,1.90331774928943,-6.00513660435137,NA,0,"fit"
1,"HT = bh + exp(B1 + B2*DBH^(-1.0))",4.5,"1/DBH",521,15155,4.13180835970092,-2.31363085084162,NA,0.0040644502340829,0.0120756648971068,NA,0,0,NA,4.43142266995847,107291.645452892,-0.873933177377897,7.37896714040919,-0.967038939527536,3.69653133782899,-5.35217836059809,NA,0,"fit"
1,"HT = bh + exp(B1 + B2*DBH^(-1.0))",4.5,"1/DBH",827,126480,4.21999403626537,-2.24784441218602,NA,0.00117709243058801,0.00408732181378054,NA,0,0,NA,4.40917629383524,937883.955017349,-1.7881289636621,8.8248911045797,0.500922140483076,3.13912293911882,-9.00443197058818,NA,0,"fit"
1,"HT = bh + exp(B1 + B2*DBH^(-1.0))",4.5,"1/DBH",531,109804,4.1998305952687,-2.50261566212871,NA,0.00134936388863697,0.00629688462876964,NA,0,0,NA,4.29070562516428,833673.194838832,-1.69330850090977,9.38991619711016,1.78949029597371,2.5399484428622,-9.40945939740239,NA,0,"fit"
1,"HT = bh + exp(B1 + B2*DBH^(-1.0))",4.5,"1/DBH",409,68631,4.35471496460607,-3.08515379517644,NA,0.00179406596089632,0.00959889385186028,NA,0,0,NA,4.44882951276655,524806.051134882,-1.48973163815798,9.43601191439824,1.67994725372703,2.9096335092259,-9.05877567742687,NA,0,"fit"
1,"HT = bh + exp(B1 + B2*DBH^(-1.0))",4.5,"1/DBH",491,41398,3.57579241431043,-1.45492832042814,NA,0.00254263460918653,0.00525051269853651,NA,0,0,NA,2.89317298741329,245489.406132434,-0.211048143222502,3.84574541160663,-0.280275041823261,1.10334768707929,-1.45621205811807,NA,0,"fit"
1,"HT = bh + exp(B1 + B2*DBH^(-1.0))",4.5,"1/DBH",812,57032,4.36996552687624,-3.11685908936973,NA,0.00175491319522088,0.0096398564910603,NA,0,0,NA,4.23016838527941,437209.629744654,-1.69747932399866,9.43580286766399,1.63721777709646,2.34704342088338,-9.07708734566471,NA,0,"fit"
1,"HT = bh + exp(B1 + B2*DBH^(-1.0))",4.5,"1/DBH",110,100174,4.62699766486715,-5.59114159250817,NA,0.00199355434968098,0.0163468859250372,NA,0,0,NA,4.06698314360589,779683.198075,-0.5074096729687,9.53680673202326,0.148010253805975,1.27125960688998,-2.94151850824231,NA,0,"fit"
1,"HT = bh + exp(B1 + B2*DBH^(-1.0))",4.5,"1/DBH",693,100326,4.14365203322757,-2.50401301981105,NA,0.00143753972312073,0.00548291559949006,NA,0,0,NA,4.10372802300284,725438.931309897,-1.31815108472425,7.8170309263879,0.483327924302276,3.14303166579572,-7.58081284427074,NA,0,"fit"
1,"HT = bh + exp(B1 + B2*DBH^(-1.0))",4.5,"1/DBH",931,28577,4.12120811576602,-2.22844032459821,NA,0.00266542847386395,0.00972471956112282,NA,0,0,NA,4.32126685160462,209890.939169691,-0.913807002729276,8.31237610730451,0.793903676840752,2.14299246909979,-5.67881736516789,NA,0,"fit"
